( 30 Seconds to Mars , Muse ) 50
( Arctic Monkeys , Coldplay ) 50
( Arctic Monkeys , MGMT ) 50
( Arctic Monkeys , The Killers ) 50
( Arctic Monkeys , The Strokes ) 50
( Coldplay , The Killers ) 50
( Foo Fighters , Nirvana ) 50
( Franz Ferdinand , Arctic Monkeys ) 50
( Incubus , Muse ) 50
( Iron Maiden , Metallica ) 50
( Kings of Leon , Arctic Monkeys ) 50
( Kings of Leon , Coldplay ) 50
( Kings of Leon , The Killers ) 50
( Lady Gaga , Britney Spears ) 50
( Lady Gaga , Coldplay ) 50
( Lady Gaga , Ke$ha ) 50
( Lady Gaga , Lily Allen ) 50
( Lady Gaga , Muse ) 50
( Lady Gaga , Paramore ) 50
( Lady Gaga , Rihanna ) 50
( Lady Gaga , The Beatles ) 50
( Led Zeppelin , Pink Floyd ) 50
( Metallica , System of a Down ) 50
( Muse , Arctic Monkeys ) 50
( Muse , Coldplay ) 50
( Muse , Death Cab for Cutie ) 50
( Muse , Foo Fighters ) 50
( Muse , Franz Ferdinand ) 50
( Muse , Green Day ) 50
( Muse , Kasabian ) 50
( Muse , Kings of Leon ) 50
( Muse , Linkin Park ) 50
( Muse , MGMT ) 50
( Muse , Metallica ) 50
( Muse , Nirvana ) 50
( Muse , Paramore ) 50
( Muse , Pink Floyd ) 50
( Muse , Placebo ) 50
( Muse , Queen ) 50
( Muse , Snow Patrol ) 50
( Muse , System of a Down ) 50
( Muse , The Killers ) 50
( Muse , The Strokes ) 50
( Nirvana , Arctic Monkeys ) 50
( Nirvana , Coldplay ) 50
( Nirvana , Pearl Jam ) 50
( Oasis , Arctic Monkeys ) 50
( Oasis , Coldplay ) 50
( Oasis , Muse ) 50
( Oasis , Nirvana ) 50
( Oasis , The Killers ) 50
( Placebo , Arctic Monkeys ) 50
( Placebo , Coldplay ) 50
( Placebo , Nirvana ) 50
( Placebo , The Killers ) 50
( Radiohead , Arctic Monkeys ) 50
( Radiohead , Coldplay ) 50
( Radiohead , David Bowie ) 50
( Radiohead , Death Cab for Cutie ) 50
( Radiohead , Foo Fighters ) 50
( Radiohead , Franz Ferdinand ) 50
( Radiohead , Kings of Leon ) 50
( Radiohead , Muse ) 50
( Radiohead , Nirvana ) 50
( Radiohead , Oasis ) 50
( Radiohead , Pearl Jam ) 50
( Radiohead , Pink Floyd ) 50
( Radiohead , Placebo ) 50
( Radiohead , Red Hot Chili Peppers ) 50
( Radiohead , The Beatles ) 50
( Radiohead , The Cure ) 50
( Radiohead , The Killers ) 50
( Radiohead , The Smiths ) 50
( Radiohead , The Strokes ) 50
( Red Hot Chili Peppers , Coldplay ) 50
( Red Hot Chili Peppers , Foo Fighters ) 50
( Red Hot Chili Peppers , Muse ) 50
( Red Hot Chili Peppers , Nirvana ) 50
( Red Hot Chili Peppers , The Beatles ) 50
( Red Hot Chili Peppers , The Killers ) 50
( The Beatles , Arctic Monkeys ) 50
( The Beatles , Coldplay ) 50
( The Beatles , David Bowie ) 50
( The Beatles , Death Cab for Cutie ) 50
( The Beatles , Franz Ferdinand ) 50
( The Beatles , Led Zeppelin ) 50
( The Beatles , MGMT ) 50
( The Beatles , Muse ) 50
( The Beatles , Nirvana ) 50
( The Beatles , Oasis ) 50
( The Beatles , Pink Floyd ) 50
( The Beatles , Queen ) 50
( The Beatles , The Killers ) 50
( The Beatles , The Rolling Stones ) 50
( The Beatles , The Smiths ) 50
( The Beatles , The Strokes ) 50
( The Cure , Muse ) 50
( The Cure , The Smiths ) 50
( The Kooks , Arctic Monkeys ) 50
( The Kooks , Muse ) 50
( The Strokes , The Killers ) 50
